eta,U,a,s,y,ke,eph,coul,E,Einf,dE
0.00022704451583391026,0.13103706971044476,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.13100699485258135,-0.13100731846239608,2.470165930584265e-06
0.00022704451583391026,0.16102849786120232,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.16099161195524475,-0.16099193722386998,2.0204032005424513e-06
0.00022704451583391026,0.1978842871008457,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.19783903125158972,-0.19783935855868975,1.6544084171055413e-06
0.00022704451583391026,0.24317553477498208,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.24311999329129072,-0.24312032310342643,1.3565798675450163e-06
0.00022704451583391026,0.2988329269567655,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.29876474568903183,-0.29876507857954937,1.1142216457260361e-06
0.00022704451583391026,0.3672290401918124,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.36714532617871043,-0.3671456628521819,9.170024476797834e-07
0.00022704451583391026,0.451279480255236,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.4511766784018775,-0.4511770197241357,7.565151665827444e-07
0.00022704451583391026,0.554567169287763,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.5544409108182672,-0.5544412578533147,6.259185126666509e-07
0.00022704451583391026,0.6814950794525384,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.6813399956768159,-0.6813403497321809,5.19645380117669e-07
0.00022704451583391026,0.8374739238792347,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.8372834173351891,-0.837283780017664,4.3316553311682586e-07
